state_name,county_name,year,farms,land_owned_acres,land_rented_acres,cropland_acres,harvested_cropland_acres,irrigated_acres,market_value_total_dollars,crops_sales_dollars,livestock_sales_dollars,gov_payments_dollars,net_cash_income_dollars,cattle_head,milk_cows_head,veg_harvest_ops,land_in_farms_acres
CALIFORNIA,ALAMEDA,2022,397,63035.0,95465.0,14619.0,8145.0,7361.0,134429000.0,119191000.0,15238000.0,2826000.0,59585000.0,12221.0,,21.0,158500.0
CALIFORNIA,ALPINE,2022,4,,,,,,,,,,,,,,0.0
CALIFORNIA,AMADOR,2022,445,74208.0,58357.0,9434.0,5484.0,9115.0,25329000.0,15756000.0,9573000.0,482000.0,-4511000.0,12990.0,10.0,20.0,132565.0
CALIFORNIA,BUTTE,2022,1667,233775.0,154608.0,207138.0,177975.0,180090.0,514086000.0,490451000.0,23636000.0,7682000.0,93302000.0,19927.0,185.0,61.0,388383.0
CALIFORNIA,CALAVERAS,2022,603,98289.0,123202.0,4685.0,2788.0,4428.0,31692000.0,7422000.0,24270000.0,1607000.0,-895000.0,22889.0,13.0,24.0,221491.0
CALIFORNIA,COLUSA,2022,715,212544.0,253299.0,276014.0,169808.0,171743.0,552806000.0,535080000.0,17726000.0,9798000.0,57908000.0,22909.0,,27.0,465843.0
CALIFORNIA,CONTRA COSTA,2022,405,85221.0,123727.0,26729.0,9869.0,12303.0,93429000.0,76859000.0,16570000.0,2401000.0,14859000.0,29568.0,,16.0,208948.0
CALIFORNIA,DEL NORTE,2022,54,,,6866.0,5773.0,7593.0,44188000.0,10911000.0,33277000.0,80000.0,5646000.0,7047.0,,,0.0
CALIFORNIA,EL DORADO,2022,1204,50883.0,42356.0,9246.0,4958.0,5092.0,32156000.0,23391000.0,8765000.0,1163000.0,-12018000.0,7497.0,49.0,70.0,93239.0
CALIFORNIA,FRESNO,2022,4427,1140266.0,519185.0,1182023.0,988985.0,985055.0,6995967000.0,5099734000.0,1896233000.0,63438000.0,1433184000.0,467508.0,111876.0,385.0,1659451.0
CALIFORNIA,GLENN,2022,1084,258492.0,225680.0,241032.0,186455.0,198569.0,548427000.0,427890000.0,120537000.0,12254000.0,96191000.0,52325.0,13491.0,22.0,484172.0
CALIFORNIA,HUMBOLDT,2022,721,283441.0,261189.0,15970.0,9529.0,11678.0,178881000.0,90603000.0,88278000.0,3829000.0,25432000.0,59575.0,6904.0,43.0,544630.0
CALIFORNIA,IMPERIAL,2022,482,200180.0,536406.0,702024.0,634602.0,623755.0,3046146000.0,2236942000.0,809205000.0,8698000.0,692589000.0,412212.0,13921.0,145.0,736586.0
CALIFORNIA,INYO,2022,63,32520.0,224640.0,13854.0,6574.0,19077.0,23636000.0,14529000.0,9108000.0,1326000.0,6726000.0,11374.0,,3.0,257160.0
CALIFORNIA,KERN,2022,1691,1350269.0,1049243.0,994576.0,812470.0,817526.0,5013363000.0,3932779000.0,1080584000.0,34096000.0,1041613000.0,326215.0,129250.0,114.0,2399512.0
CALIFORNIA,KINGS,2022,862,459240.0,133959.0,452269.0,353187.0,350462.0,2133236000.0,1071407000.0,1061829000.0,11840000.0,512195000.0,324887.0,150643.0,46.0,593199.0
CALIFORNIA,LAKE,2022,581,82815.0,55215.0,19386.0,15303.0,13204.0,70962000.0,67322000.0,3640000.0,2033000.0,-6338000.0,2888.0,4.0,35.0,138030.0
CALIFORNIA,LASSEN,2022,419,340487.0,253463.0,84824.0,62939.0,82674.0,98090000.0,65151000.0,32939000.0,6519000.0,17713000.0,43348.0,33.0,25.0,593950.0
CALIFORNIA,LOS ANGELES,2022,766,16521.0,52703.0,30500.0,20422.0,14057.0,199849000.0,177940000.0,21909000.0,318000.0,46478000.0,6364.0,,71.0,69224.0
CALIFORNIA,MADERA,2022,1255,522213.0,171398.0,390554.0,326426.0,333171.0,2005144000.0,1219319000.0,785825000.0,13835000.0,425427000.0,195378.0,78262.0,30.0,693611.0
CALIFORNIA,MARIN,2022,255,65461.0,56382.0,18725.0,8418.0,,54022000.0,8937000.0,45085000.0,2228000.0,6604000.0,22953.0,4254.0,23.0,121843.0
CALIFORNIA,MARIPOSA,2022,388,91169.0,149259.0,3797.0,2154.0,4116.0,33937000.0,4136000.0,29801000.0,4223000.0,4429000.0,33288.0,,11.0,240428.0
CALIFORNIA,MENDOCINO,2022,975,422151.0,255636.0,60650.0,28834.0,25341.0,143084000.0,134525000.0,8559000.0,7567000.0,6649000.0,14870.0,21.0,62.0,677787.0
CALIFORNIA,MERCED,2022,2047,561541.0,310785.0,550570.0,495422.0,500340.0,3979951000.0,1637985000.0,2341966000.0,33115000.0,731275000.0,593108.0,288973.0,179.0,872326.0
CALIFORNIA,MODOC,2022,426,387021.0,146761.0,170943.0,128573.0,129834.0,164652000.0,122831000.0,41821000.0,8869000.0,38021000.0,56498.0,9.0,34.0,533782.0
CALIFORNIA,MONO,2022,61,33806.0,27257.0,18647.0,17291.0,27777.0,35127000.0,31651000.0,3476000.0,2285000.0,11228000.0,5931.0,,3.0,61063.0
CALIFORNIA,MONTEREY,2022,1057,848796.0,489681.0,363670.0,313320.0,314410.0,5472081000.0,5421074000.0,51007000.0,14657000.0,1649261000.0,50420.0,,222.0,1338477.0
CALIFORNIA,NAPA,2022,1772,198538.0,43865.0,68190.0,59608.0,59440.0,716603000.0,705888000.0,10715000.0,14369000.0,27699000.0,11989.0,,30.0,242403.0
